fips,statefp,countyfp,name,state,aland_mi2,total_pest,pest_per_land_area,cancer,top_5_pest,cancer_old,geoid_old,county
01001,01,001,Autauga County,Alabama,594.4523007722008,17880.7,30.079284707574946,459.5,"2,4-D<br>DICAMBA<br>GLYPHOSATE<br>PARAQUAT<br>ACEPHATE",459.5,01001,"Autauga County, Alabama(6)"
01003,01,003,Baldwin County,Alabama,1589.8769945945946,185764.1,116.84180639859392,442.5,CHLOROTHALONIL<br>GLYPHOSATE<br>METOLACHLOR & METOLACHLOR-S<br>FLUTOLANIL<br>ATRAZINE,442.5,01003,"Baldwin County, Alabama(6)"
01005,01,005,Barbour County,Alabama,885.0039193050193,54781.6,61.89983886514219,444.5,"GLYPHOSATE<br>2,4-D<br>ETHEPHON<br>PENDIMETHALIN<br>DICHLOROPROPENE",444.5,01005,"Barbour County, Alabama(6)"
01007,01,007,Bibb County,Alabama,622.4666845559846,7673.500000000001,12.327567386957634,444.8,"2,4-D<br>GLYPHOSATE<br>ATRAZINE<br>SULFUR<br>DODINE",444.8,01007,"Bibb County, Alabama(6)"
01009,01,009,Blount County,Alabama,644.887683011583,22650.6,35.123325497896296,410.1,"2,4-D<br>GLYPHOSATE<br>ETHEPHON<br>METOLACHLOR & METOLACHLOR-S<br>DICAMBA",410.1,01009,"Blount County, Alabama(6)"
01011,01,011,Bullock County,Alabama,622.8124795366796,8837.300000000001,14.189343165657524,434.2,"2,4-D<br>SULFUR<br>ATRAZINE<br>CHLOROTHALONIL<br>AMINOPYRALID",434.2,01011,"Bullock County, Alabama(6)"
01013,01,013,Butler County,Alabama,776.834961003861,20871.5,26.867354132760592,460.9,"CHLOROTHALONIL<br>ATRAZINE<br>GLYPHOSATE<br>METOLACHLOR & METOLACHLOR-S<br>2,4-D",460.9,01013,"Butler County, Alabama(6)"
01015,01,015,Calhoun County,Alabama,605.8906891891892,24142,39.84547118937764,493.2,"GLYPHOSATE<br>2,4-D<br>ETHEPHON<br>TRIBUFOS<br>GLUFOSINATE",493.2,01015,"Calhoun County, Alabama(6)"
01017,01,017,Chambers County,Alabama,596.5515857142857,19420.9,32.55527345006758,435.9,"2,4-D<br>GLYPHOSATE<br>ETHEPHON<br>ACEPHATE<br>TRIBUFOS",435.9,01017,"Chambers County, Alabama(6)"
01019,01,019,Cherokee County,Alabama,553.5192142857143,89528.7,161.74452067672448,421.5,"GLYPHOSATE<br>ETHEPHON<br>TRIBUFOS<br>2,4-D<br>GLUFOSINATE",421.5,01019,"Cherokee County, Alabama(6)"
